"","PlotName","Mean_LogError","SD","N","SE","CI_Lower","CI_Upper"
"1","bar",1.93677912191301,1.61309046385226,40,0.255051996883533,1.43687720802129,2.43668103580474
"2","dividedBarBot",2.19772311583964,1.41100746312491,40,0.223099868948538,1.76044737270051,2.63499885897878
"3","dividedBar",2.49867130319548,1.17357497263719,40,0.185558495925166,2.13497665118215,2.8623659552088
"4","radial",2.36591647648067,1.76402993500485,40,0.278917622766706,1.81923793585793,2.91259501710342
"5","pie",1.59989523563108,2.25683814996584,40,0.356837443212636,0.900493846934311,2.29929662432784
"6","radialBar",1.87255945243764,1.73845405248046,40,0.274873720669407,1.3338069599256,2.41131194494967
"7","alpha",3.26259561105256,1.92235712714679,40,0.303951349902088,2.66685096524446,3.85834025686065
"8","heat",3.39923363061985,1.69450681092582,40,0.267925051659695,2.87410052936685,3.92436673187286
